STT,min_AccelX,max_AccelX,mean_AccelX,std_AccelX,frequency_AccelX,min_AccelY,max_AccelY,mean_AccelY,std_AccelY,frequency_AccelY,min_AccelZ,max_AccelZ,mean_AccelZ,std_AccelZ,frequency_AccelZ,min_GyroX,max_GyroX,mean_GyroX,std_GyroX,frequency_GyroX,min_GyroY,max_GyroY,mean_GyroY,std_GyroY,frequency_GyroY,min_GyroZ,max_GyroZ,mean_GyroZ,std_GyroZ,frequency_GyroZ
0,8.96,9.13,9.0426,0.031831431007732044,39.0,1.53,1.73,1.6680000000000001,0.03316624790355399,1.0,4.75,5.0,4.874250000000001,0.03869673758858752,57.0,-0.14,-0.08,-0.10905000000000001,0.008636984427449201,89.0,0.03,0.09,0.05780000000000001,0.007691553809211764,6.0,-0.03,0.01,-0.011699999999999999,0.005577633906953736,182.0
1,8.95,9.14,9.0337,0.036294765462804676,154.0,1.58,1.74,1.6806,0.023720033726788846,60.0,4.74,5.01,4.890599999999999,0.039719516613372856,140.0,-0.14,-0.09,-0.11085,0.00841293646713203,46.0,0.03,0.07,0.05595000000000001,0.006789513973768667,187.0,-0.02,0.01,-0.0114,0.0052,154.0
2,8.66,9.05,8.8332,0.06667653260330808,1.0,1.21,1.47,1.38335,0.03445689335967474,167.0,4.91,5.56,5.3311,0.1082949213952344,2.0,-0.16,-0.07,-0.10975000000000001,0.013799909419992581,5.0,-0.03,0.14,0.0558,0.02816664694279388,2.0,-0.03,0.01,-0.011349999999999997,0.0069769262573141765,3.0
3,8.72,8.9,8.8079,0.03174255818298214,40.0,1.28,1.48,1.4116500000000003,0.025055488420703362,61.0,5.21,5.5,5.369200000000001,0.0417415859784939,67.0,-0.13,-0.08,-0.11065000000000001,0.008664727347124083,40.0,0.03,0.08,0.055900000000000005,0.00843741666625514,187.0,-0.02,0.01,-0.011049999999999999,0.004732599708405518,45.0
4,8.71,8.91,8.811,0.03459768778401241,39.0,1.29,1.5,1.40935,0.02778628258691686,58.0,5.2,5.51,5.3652999999999995,0.03908848935428433,39.0,-0.14,-0.08,-0.11085,0.00876227710130192,39.0,-0.01,0.08,0.05565000000000001,0.010323637924685271,13.0,-0.02,0.0,-0.0109,0.0048155996511338025,13.0
5,8.71,8.94,8.8298,0.04136375224758996,40.0,1.28,1.47,1.4041500000000002,0.026875220929324456,143.0,5.16,5.44,5.33435,0.0421731846082318,199.0,-0.13,-0.08,-0.11040000000000001,0.008593020423576332,40.0,0.03,0.09,0.055250000000000014,0.01029259442511945,1.0,-0.03,0.01,-0.0115,0.005074445782546109,45.0
6,8.71,8.96,8.8267,0.04239233421268522,40.0,1.32,1.48,1.42075,0.02406112009030336,60.0,5.18,5.45,5.33665,0.03643181988317355,40.0,-0.13,-0.08,-0.11015000000000001,0.008915015423430291,40.0,0.02,0.08,0.055650000000000005,0.008519242924110099,40.0,-0.02,0.01,-0.01095,0.004857725805353777,47.0
7,8.83,9.13,8.93355,0.045770050251228725,39.0,1.53,1.75,1.6614499999999999,0.03480513611523446,1.0,4.62,5.21,5.08145,0.05933293773276358,199.0,-0.13,-0.06,-0.10720000000000002,0.011496086290559931,1.0,0.04,0.21,0.06370000000000002,0.02742827008763039,1.0,-0.05,0.01,-0.011749999999999998,0.007644442425710328,189.0
8,8.84,9.02,8.924650000000002,0.034130301785949654,37.0,1.58,1.76,1.6695,0.026091186251299497,163.0,4.97,5.24,5.0973500000000005,0.03493533311706078,62.0,-0.13,-0.08,-0.11040000000000001,0.007863841300534998,31.0,0.04,0.07,0.056450000000000014,0.006074331238910172,6.0,-0.02,0.01,-0.011200000000000002,0.005617828762075256,43.0
9,8.84,9.01,8.9246,0.03212226642066209,39.0,1.58,1.77,1.66665,0.026062952633959177,161.0,4.95,5.21,5.098450000000001,0.036181452430769014,60.0,-0.13,-0.08,-0.11075000000000003,0.008242420760917265,155.0,0.04,0.07,0.05615000000000001,0.005888760480780314,194.0,-0.03,0.01,-0.011200000000000002,0.006289674077406555,30.0
10,8.83,9.02,8.92205,0.03266951943325762,39.0,1.54,1.74,1.66275,0.029392813747581212,55.0,4.99,5.2,5.1004000000000005,0.03157277308061493,164.0,-0.13,-0.08,-0.11030000000000001,0.007994373021069255,39.0,0.04,0.07,0.056650000000000006,0.006802756794123981,12.0,-0.02,-0.0,-0.01125,0.005379358697837504,6.0
11,8.83,9.0,8.91765,0.035762794913149744,39.0,1.55,1.74,1.6664499999999998,0.02751177020840352,58.0,5.01,5.19,5.107,0.03128897569432405,55.0,-0.13,-0.08,-0.11085,0.008232709153128147,89.0,0.04,0.07,0.05615000000000001,0.006608895520433047,6.0,-0.02,0.0,-0.011049999999999999,0.005328930474307205,45.0
12,8.93,9.13,9.02885,0.03544259443099501,154.0,1.56,1.75,1.6840999999999997,0.027188048845034837,161.0,4.79,4.98,4.899150000000001,0.03136522756174428,40.0,-0.13,-0.09,-0.11025000000000001,0.008272696053887148,46.0,0.04,0.07,0.056000000000000015,0.006633249580710799,187.0,-0.02,-0.0,-0.011349999999999997,0.005067297109899912,46.0
13,8.8,9.02,8.91505,0.035791025411407225,161.0,1.44,1.64,1.5510000000000002,0.02851315485876653,61.0,4.99,5.27,5.150250000000001,0.0392484076110102,38.0,-0.13,-0.08,-0.11055000000000004,0.008613797072139554,45.0,0.03,0.07,0.05610000000000001,0.0074692703793610244,60.0,-0.03,0.01,-0.011049999999999999,0.00594957981709633,155.0
14,8.82,9.0,8.91465,0.03376207191509432,41.0,1.42,1.64,1.54935,0.029682949651272886,40.0,5.0,5.29,5.151199999999999,0.03588258630589499,125.0,-0.13,-0.08,-0.11120000000000001,0.007652450587883595,47.0,0.04,0.08,0.05635000000000002,0.007561580522615624,7.0,-0.02,0.01,-0.01075,0.004993746088859545,13.0
15,8.8,9.02,8.91265,0.035035374980154,44.0,1.47,1.65,1.5561500000000001,0.024993549167735277,63.0,5.0,5.27,5.154349999999999,0.03609123854898863,38.0,-0.13,-0.07,-0.11045000000000002,0.008080686851994697,44.0,0.03,0.08,0.056350000000000004,0.00708360783781824,6.0,-0.02,0.01,-0.011200000000000002,0.005793099343184096,38.0
