STT,min_AccelX,max_AccelX,mean_AccelX,std_AccelX,frequency_AccelX,min_AccelY,max_AccelY,mean_AccelY,std_AccelY,frequency_AccelY,min_AccelZ,max_AccelZ,mean_AccelZ,std_AccelZ,frequency_AccelZ,min_GyroX,max_GyroX,mean_GyroX,std_GyroX,frequency_GyroX,min_GyroY,max_GyroY,mean_GyroY,std_GyroY,frequency_GyroY,min_GyroZ,max_GyroZ,mean_GyroZ,std_GyroZ,frequency_GyroZ
0,8.58,8.94,8.70905,0.07533656150900436,2.0,1.01,1.22,1.1176,0.02990384590650502,2.0,5.3,5.85,5.58425,0.11987258860974014,2.0,-0.14,-0.07,-0.11170000000000002,0.011580587204455565,41.0,-0.01,0.17,0.052700000000000004,0.03319201711255283,2.0,-0.03,0.01,-0.011949999999999999,0.006220731468243907,188.0
1,8.56,8.98,8.697349999999998,0.07874946031561106,1.0,0.98,1.23,1.11905,0.031568932512836045,61.0,5.27,5.84,5.610449999999999,0.11719768555735223,1.0,-0.14,-0.06,-0.11095,0.011815138594193468,42.0,-0.01,0.15,0.05760000000000001,0.029937267744401794,2.0,-0.02,0.01,-0.011550000000000003,0.006172317230991939,35.0
2,8.6,9.03,8.758000000000001,0.10011493395093458,1.0,0.85,1.15,1.0285,0.04432550056118941,1.0,5.17,5.84,5.527100000000001,0.1530934028624356,1.0,-0.14,-0.07,-0.11275000000000002,0.013781781452337721,1.0,-0.01,0.16,0.05115000000000001,0.030905946029849984,1.0,-0.02,0.01,-0.0109,0.00617980582219215,156.0
3,8.61,8.98,8.77805,0.08707868568139968,1.0,0.84,1.14,1.0074,0.04392311464365889,199.0,5.19,5.76,5.494199999999999,0.12325323525165571,1.0,-0.14,-0.08,-0.11120000000000001,0.01206482490548454,43.0,0.0,0.13,0.0558,0.022635370551417972,1.0,-0.02,0.01,-0.01145,0.006033034062559236,36.0
4,8.6,8.96,8.7553,0.07781330220470017,1.0,0.85,1.12,1.0077,0.03785115586081886,1.0,5.22,5.78,5.53355,0.11094997746732536,1.0,-0.14,-0.06,-0.10950000000000003,0.013143439428094915,40.0,0.0,0.13,0.05955000000000001,0.023522276675526116,1.0,-0.02,0.01,-0.011800000000000001,0.00581033561853358,47.0
5,8.6,8.98,8.76595,0.07983794523909042,2.0,0.8,1.14,1.0029000000000001,0.0451285940396995,2.0,5.2,5.77,5.517799999999999,0.11413658484465007,2.0,-0.15,-0.07,-0.11290000000000001,0.013251037695214666,1.0,0.0,0.12,0.0507,0.023356155505562127,1.0,-0.03,0.01,-0.01175,0.005952940449895328,43.0
6,8.61,9.04,8.7969,0.10001194928607278,1.0,0.78,1.12,0.9803999999999999,0.05039682529683791,199.0,5.1,5.82,5.467099999999999,0.14942754096885888,1.0,-0.14,-0.07,-0.11090000000000001,0.01357166165213383,1.0,0.0,0.13,0.05755000000000001,0.02706469101985094,199.0,-0.02,0.01,-0.011349999999999997,0.0058887604807803156,187.0
7,8.59,9.01,8.761600000000001,0.08815577122344286,1.0,0.82,1.1,0.9895,0.04117948518376597,199.0,5.07,5.77,5.527049999999999,0.13348332292837187,199.0,-0.15,-0.06,-0.10915000000000001,0.013556456026557973,1.0,-0.03,0.12,0.059250000000000004,0.026663411259626926,1.0,-0.02,0.01,-0.012200000000000003,0.006337191807101944,7.0
8,8.62,9.02,8.79235,0.09528891593464581,199.0,0.82,1.09,0.9764000000000002,0.04334789498926102,2.0,5.17,5.76,5.478399999999999,0.14663369326317882,1.0,-0.14,-0.06,-0.11275000000000002,0.01385415100249741,1.0,-0.01,0.13,0.04880000000000001,0.029369371801249,1.0,-0.02,0.01,-0.010950000000000001,0.006212688628927093,193.0
9,8.63,9.03,8.809149999999999,0.09409982731121237,1.0,0.79,1.08,0.9636499999999999,0.041221080771857495,1.0,5.08,5.81,5.4517,0.15168424440264056,1.0,-0.14,-0.07,-0.10980000000000002,0.01322724461102916,43.0,-0.01,0.12,0.061550000000000014,0.029784182043494162,1.0,-0.02,0.01,-0.012000000000000002,0.006324555320336759,13.0
