STT,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1,9.52,1.35,4.09,-0.11,0.06,-0.01
2,9.52,1.36,4.10,-0.11,0.06,-0.01
3,9.47,1.31,4.10,-0.12,0.06,-0.01
4,9.43,1.32,4.09,-0.11,0.06,-0.01
5,9.47,1.33,4.07,-0.11,0.06,-0.01
6,9.49,1.35,4.09,-0.11,0.06,-0.01
7,9.46,1.36,4.09,-0.11,0.06,-0.01
8,9.47,1.34,4.10,-0.11,0.06,-0.01
9,9.49,1.35,4.12,-0.11,0.06,-0.01
10,9.46,1.34,4.07,-0.10,0.06,-0.01
11,9.43,1.34,4.11,-0.11,0.06,-0.01
12,9.50,1.32,4.08,-0.11,0.06,-0.01
13,9.51,1.30,4.08,-0.11,0.07,-0.02
14,9.44,1.35,4.12,-0.11,0.07,-0.02
15,9.49,1.36,4.09,-0.11,0.07,-0.02
16,9.52,1.35,4.12,-0.12,0.08,-0.02
17,9.47,1.34,4.14,-0.13,0.08,-0.03
18,9.45,1.36,4.00,-0.11,0.05,-0.02
19,9.40,1.22,4.02,-0.08,0.08,-0.03
20,9.36,1.38,4.27,-0.12,0.07,-0.02
21,9.41,1.40,4.13,-0.12,0.05,0.01
22,9.47,1.33,4.15,-0.13,0.05,-0.00
23,9.50,1.34,4.15,-0.11,0.04,-0.01
24,9.43,1.36,4.09,-0.10,0.05,-0.01
25,9.35,1.32,4.11,-0.11,0.04,-0.01
26,9.43,1.32,4.15,-0.11,0.04,-0.00
27,9.54,1.36,4.17,-0.12,0.04,-0.01
28,9.56,1.35,4.07,-0.10,0.06,-0.01
29,9.40,1.38,4.13,-0.09,0.06,-0.02
30,9.39,1.34,4.07,-0.11,0.05,-0.01
31,9.47,1.35,4.10,-0.12,0.05,-0.01
32,9.52,1.32,4.10,-0.11,0.06,-0.01
33,9.47,1.36,4.13,-0.11,0.06,-0.02
34,9.43,1.33,4.10,-0.11,0.06,-0.01
35,9.42,1.30,4.14,-0.12,0.06,-0.01
36,9.48,1.34,4.12,-0.11,0.06,-0.01
37,9.48,1.36,4.15,-0.11,0.06,-0.02
38,9.45,1.34,4.11,-0.12,0.05,-0.01
39,9.44,1.33,4.14,-0.11,0.06,-0.01
40,9.48,1.32,4.12,-0.11,0.05,-0.02
41,9.46,1.36,4.11,-0.11,0.06,-0.02
42,9.44,1.34,4.11,-0.12,0.05,-0.01
43,9.46,1.35,4.12,-0.12,0.05,-0.01
44,9.50,1.31,4.10,-0.11,0.06,-0.01
45,9.42,1.32,4.13,-0.11,0.06,-0.02
46,9.45,1.33,4.11,-0.11,0.05,-0.01
47,9.46,1.33,4.13,-0.12,0.05,-0.01
48,9.45,1.36,4.20,-0.13,0.06,-0.01
49,9.50,1.39,3.96,-0.10,0.05,-0.00
50,9.41,1.32,4.04,-0.08,0.08,-0.02
51,9.39,1.41,4.23,-0.12,0.05,-0.01
52,9.49,1.31,4.14,-0.13,0.06,0.01
53,9.53,1.28,4.17,-0.12,0.05,-0.01
