STT,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
1,8.79,0.65,5.47,-0.11,0.06,-0.01
2,8.81,0.68,5.46,-0.11,0.06,-0.01
3,8.83,0.66,5.50,-0.12,0.05,-0.01
4,8.87,0.65,5.51,-0.12,0.06,-0.01
5,8.83,0.66,5.52,-0.11,0.07,-0.01
6,8.84,0.73,5.41,-0.11,0.04,-0.01
7,8.76,0.59,5.35,-0.07,0.07,-0.01
8,8.73,0.69,5.65,-0.13,0.07,-0.01
9,8.82,0.71,5.53,-0.13,0.02,0.01
10,8.91,0.59,5.42,-0.12,0.05,0.00
11,8.90,0.65,5.53,-0.12,0.06,-0.01
12,8.76,0.72,5.43,-0.10,0.05,-0.02
13,8.77,0.63,5.42,-0.11,0.06,-0.02
14,8.81,0.63,5.54,-0.12,0.05,-0.01
15,8.92,0.68,5.50,-0.12,0.05,-0.01
16,8.89,0.68,5.46,-0.11,0.05,-0.01
17,8.80,0.67,5.50,-0.11,0.04,-0.01
18,8.78,0.65,5.44,-0.12,0.05,-0.01
19,8.82,0.68,5.54,-0.11,0.02,-0.00
20,8.85,0.69,5.51,-0.12,-0.02,0.00
21,8.92,0.64,5.41,-0.10,0.02,-0.01
22,8.81,0.60,5.43,-0.10,0.03,-0.01
23,8.73,0.64,5.46,-0.12,0.01,-0.00
24,8.87,0.68,5.46,-0.12,0.00,0.00
25,8.92,0.67,5.47,-0.11,-0.01,-0.01
26,8.93,0.65,5.43,-0.11,-0.00,-0.01
27,8.87,0.63,5.38,-0.11,0.00,-0.01
28,8.89,0.65,5.37,-0.11,-0.00,-0.01
29,8.92,0.61,5.32,-0.11,0.00,-0.02
30,8.87,0.64,5.37,-0.11,-0.00,-0.02
31,8.86,0.63,5.32,-0.11,-0.01,-0.01
32,8.93,0.64,5.32,-0.10,-0.01,-0.01
33,8.97,0.66,5.31,-0.10,-0.01,-0.01
34,8.94,0.67,5.29,-0.10,-0.01,-0.01
35,8.96,0.68,5.25,-0.10,-0.01,-0.01
36,8.93,0.71,5.28,-0.13,-0.02,-0.01
37,9.02,0.53,5.04,-0.08,-0.00,-0.00
38,8.96,0.65,5.20,-0.07,0.03,-0.01
39,8.95,0.77,5.28,-0.12,-0.01,0.00
40,9.05,0.67,5.15,-0.12,-0.01,0.00
41,9.09,0.58,5.21,-0.11,0.01,-0.01
42,9.05,0.68,5.13,-0.10,0.01,-0.01
43,8.95,0.65,5.12,-0.10,0.01,-0.01
44,8.98,0.61,5.12,-0.11,0.01,-0.01
45,9.06,0.64,5.18,-0.11,0.01,-0.01
46,9.10,0.67,5.04,-0.11,0.01,-0.01
47,9.04,0.60,5.03,-0.11,0.05,-0.02
48,8.96,0.63,5.07,-0.10,0.04,-0.01
49,8.98,0.65,5.10,-0.12,0.03,-0.01
50,9.13,0.66,5.08,-0.13,0.04,-0.01
51,9.11,0.64,5.09,-0.11,0.04,-0.01
52,9.02,0.63,5.17,-0.10,0.05,-0.02
53,9.00,0.62,5.07,-0.11,0.04,-0.02
54,9.04,0.68,5.09,-0.12,0.04,-0.01
55,9.05,0.67,5.06,-0.12,0.03,-0.01
56,9.09,0.65,5.09,-0.12,0.03,-0.01
57,9.11,0.66,5.09,-0.10,0.04,-0.02
58,9.05,0.58,5.04,-0.08,0.05,-0.02
59,9.01,0.67,5.01,-0.08,0.04,-0.01
60,9.05,0.73,5.04,-0.11,0.03,-0.01
61,9.12,0.66,5.01,-0.11,0.04,-0.01
62,9.11,0.70,5.06,-0.12,0.04,-0.01
63,9.13,0.68,5.02,-0.13,0.03,-0.02
64,9.00,0.49,5.00,-0.07,0.05,-0.02
65,9.01,0.70,5.10,-0.10,0.06,-0.02
66,9.00,0.75,5.09,-0.12,0.03,-0.01
67,9.19,0.65,5.02,-0.13,0.04,-0.01
68,9.16,0.67,5.07,-0.10,0.07,-0.02
69,9.02,0.70,4.98,-0.10,0.06,-0.01
70,8.97,0.65,5.02,-0.12,0.04,-0.01
71,9.12,0.63,5.02,-0.12,0.05,-0.01
72,9.18,0.68,5.06,-0.12,0.05,-0.01
73,9.12,0.67,4.94,-0.10,0.05,-0.01
