,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0,9.48,1.39,4.07,-0.11,0.05,-0.01
1,9.48,1.39,4.07,-0.11,0.05,-0.01
2,9.48,1.39,4.07,-0.11,0.04,-0.01
3,9.48,1.39,4.06,-0.11,0.04,-0.01
4,9.48,1.4,4.06,-0.11,0.04,-0.01
5,9.48,1.4,4.06,-0.11,0.04,-0.01
6,9.49,1.4,4.05,-0.11,0.04,-0.01
7,9.49,1.4,4.05,-0.11,0.04,-0.02
8,9.49,1.4,4.04,-0.11,0.04,-0.02
9,9.49,1.4,4.03,-0.11,0.04,-0.02
10,9.49,1.4,4.03,-0.11,0.03,-0.02
11,9.5,1.41,4.02,-0.11,0.03,-0.02
12,9.5,1.41,4.01,-0.11,0.03,-0.02
13,9.5,1.41,4.01,-0.11,0.03,-0.02
14,9.5,1.41,4.0,-0.11,0.03,-0.02
15,9.5,1.41,3.99,-0.11,0.03,-0.02
16,9.51,1.41,3.98,-0.11,0.03,-0.02
17,9.51,1.41,3.97,-0.11,0.03,-0.02
18,9.51,1.42,3.97,-0.11,0.03,-0.02
19,9.51,1.42,3.96,-0.11,0.03,-0.02
20,9.51,1.42,3.95,-0.12,0.03,-0.02
21,9.51,1.42,3.94,-0.12,0.03,-0.02
22,9.51,1.42,3.94,-0.12,0.04,-0.02
23,9.52,1.42,3.93,-0.12,0.04,-0.02
24,9.52,1.42,3.93,-0.12,0.04,-0.02
25,9.52,1.42,3.92,-0.12,0.04,-0.02
26,9.52,1.42,3.91,-0.12,0.04,-0.02
27,9.52,1.42,3.91,-0.12,0.04,-0.02
28,9.52,1.42,3.91,-0.12,0.05,-0.02
29,9.52,1.42,3.9,-0.12,0.05,-0.02
30,9.52,1.42,3.9,-0.12,0.05,-0.02
31,9.52,1.42,3.9,-0.12,0.05,-0.01
32,9.52,1.42,3.9,-0.12,0.06,-0.01
33,9.52,1.42,3.9,-0.12,0.06,-0.01
34,9.52,1.42,3.9,-0.12,0.06,-0.01
35,9.52,1.42,3.9,-0.12,0.06,-0.01
36,9.52,1.41,3.91,-0.12,0.07,-0.01
37,9.52,1.41,3.91,-0.12,0.07,-0.01
38,9.51,1.41,3.91,-0.12,0.07,-0.01
39,9.51,1.41,3.92,-0.12,0.07,-0.01
40,9.51,1.41,3.92,-0.12,0.07,-0.01
41,9.51,1.41,3.93,-0.12,0.08,-0.01
42,9.51,1.4,3.94,-0.12,0.08,-0.01
43,9.51,1.4,3.94,-0.12,0.08,-0.01
44,9.51,1.4,3.95,-0.12,0.08,-0.01
45,9.5,1.4,3.96,-0.12,0.08,-0.01
46,9.5,1.4,3.96,-0.12,0.08,-0.0
47,9.5,1.39,3.97,-0.11,0.08,-0.0
48,9.5,1.39,3.98,-0.11,0.08,-0.0
49,9.5,1.39,3.99,-0.11,0.08,-0.0
50,9.5,1.39,4.0,-0.11,0.08,-0.0
51,9.49,1.39,4.01,-0.11,0.08,-0.0
52,9.49,1.39,4.01,-0.11,0.08,-0.0
53,9.49,1.38,4.02,-0.11,0.08,-0.0
54,9.49,1.38,4.03,-0.11,0.08,-0.0
55,9.49,1.38,4.04,-0.11,0.08,-0.0
56,9.49,1.38,4.04,-0.1,0.08,-0.0
57,9.48,1.38,4.05,-0.1,0.08,-0.01
58,9.48,1.38,4.05,-0.1,0.08,-0.01
59,9.48,1.38,4.06,-0.1,0.07,-0.01
60,9.48,1.38,4.06,-0.1,0.07,-0.01
61,9.48,1.38,4.07,-0.1,0.07,-0.01
62,9.48,1.38,4.07,-0.1,0.07,-0.01
63,9.48,1.38,4.08,-0.1,0.07,-0.01
64,9.48,1.38,4.08,-0.1,0.07,-0.01
65,9.48,1.38,4.08,-0.1,0.06,-0.01
66,9.48,1.38,4.08,-0.1,0.06,-0.01
67,9.48,1.38,4.08,-0.1,0.06,-0.01
68,9.47,1.38,4.08,-0.1,0.06,-0.01
69,9.47,1.38,4.08,-0.1,0.06,-0.01
70,9.47,1.38,4.08,-0.1,0.06,-0.01
71,9.47,1.38,4.08,-0.1,0.06,-0.01
72,9.47,1.38,4.08,-0.1,0.05,-0.01
73,9.47,1.39,4.08,-0.1,0.05,-0.01
74,9.47,1.39,4.08,-0.1,0.05,-0.01
75,9.47,1.39,4.08,-0.1,0.05,-0.01
76,9.47,1.39,4.07,-0.11,0.05,-0.01
77,9.47,1.39,4.07,-0.11,0.05,-0.01
78,9.47,1.39,4.07,-0.11,0.05,-0.01
79,9.47,1.39,4.07,-0.11,0.05,-0.01
80,9.47,1.39,4.07,-0.11,0.05,-0.01
81,9.47,1.39,4.06,-0.11,0.05,-0.01
82,9.47,1.39,4.06,-0.11,0.05,-0.01
83,9.47,1.39,4.06,-0.11,0.05,-0.01
84,9.47,1.39,4.06,-0.11,0.05,-0.01
85,9.47,1.39,4.06,-0.11,0.05,-0.01
86,9.47,1.39,4.06,-0.11,0.05,-0.01
87,9.47,1.39,4.06,-0.11,0.05,-0.01
88,9.47,1.39,4.05,-0.11,0.05,-0.01
89,9.47,1.39,4.05,-0.11,0.06,-0.01
90,9.47,1.39,4.05,-0.11,0.06,-0.01
91,9.47,1.39,4.05,-0.11,0.06,-0.01
92,9.47,1.39,4.05,-0.11,0.06,-0.01
93,9.47,1.39,4.05,-0.11,0.06,-0.01
