STT,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0,9.24,-1.43,4.44,-0.11,0.06,-0.01
1,9.24,-1.43,4.45,-0.11,0.06,-0.01
2,9.24,-1.42,4.45,-0.11,0.06,-0.01
3,9.24,-1.41,4.46,-0.11,0.06,-0.01
4,9.23,-1.41,4.47,-0.11,0.06,-0.01
5,9.23,-1.4,4.47,-0.11,0.06,-0.01
6,9.23,-1.4,4.48,-0.11,0.06,-0.01
7,9.23,-1.39,4.48,-0.11,0.06,-0.01
8,9.23,-1.39,4.48,-0.11,0.06,-0.01
9,9.23,-1.39,4.49,-0.11,0.06,-0.01
10,9.23,-1.38,4.49,-0.11,0.06,-0.01
11,9.22,-1.38,4.49,-0.11,0.06,-0.01
12,9.22,-1.38,4.5,-0.11,0.06,-0.01
13,9.22,-1.38,4.5,-0.11,0.06,-0.01
14,9.22,-1.38,4.5,-0.11,0.06,-0.01
15,9.22,-1.38,4.5,-0.11,0.06,-0.01
16,9.22,-1.38,4.5,-0.11,0.06,-0.01
17,9.22,-1.38,4.5,-0.11,0.06,-0.01
18,9.22,-1.38,4.5,-0.11,0.06,-0.01
19,9.22,-1.39,4.5,-0.11,0.06,-0.01
20,9.22,-1.39,4.5,-0.11,0.06,-0.01
21,9.22,-1.39,4.5,-0.11,0.06,-0.01
22,9.22,-1.39,4.5,-0.11,0.06,-0.01
23,9.22,-1.39,4.5,-0.11,0.06,-0.01
24,9.22,-1.4,4.5,-0.11,0.06,-0.01
25,9.22,-1.4,4.5,-0.11,0.06,-0.01
26,9.22,-1.4,4.5,-0.11,0.06,-0.01
27,9.22,-1.4,4.5,-0.11,0.06,-0.01
28,9.22,-1.4,4.5,-0.11,0.06,-0.01
29,9.22,-1.41,4.5,-0.11,0.06,-0.01
30,9.22,-1.41,4.5,-0.11,0.06,-0.01
31,9.22,-1.41,4.5,-0.11,0.06,-0.01
32,9.22,-1.41,4.5,-0.11,0.06,-0.01
33,9.22,-1.41,4.5,-0.11,0.06,-0.01
34,9.22,-1.41,4.5,-0.11,0.06,-0.01
35,9.22,-1.41,4.5,-0.11,0.06,-0.01
36,9.22,-1.41,4.5,-0.11,0.06,-0.01
37,9.22,-1.4,4.51,-0.11,0.06,-0.01
38,9.22,-1.4,4.51,-0.11,0.06,-0.01
39,9.22,-1.4,4.51,-0.11,0.06,-0.01
40,9.22,-1.4,4.51,-0.11,0.06,-0.01
41,9.22,-1.4,4.51,-0.11,0.06,-0.01
42,9.22,-1.4,4.51,-0.11,0.06,-0.01
43,9.21,-1.4,4.51,-0.11,0.06,-0.01
44,9.21,-1.4,4.51,-0.11,0.06,-0.01
45,9.21,-1.4,4.51,-0.11,0.05,-0.01
46,9.21,-1.39,4.51,-0.11,0.05,-0.01
47,9.21,-1.39,4.51,-0.11,0.05,-0.01
48,9.21,-1.39,4.51,-0.11,0.05,-0.01
49,9.21,-1.39,4.51,-0.11,0.05,-0.01
50,9.21,-1.39,4.51,-0.11,0.05,-0.01
51,9.21,-1.39,4.51,-0.11,0.05,-0.01
52,9.21,-1.39,4.51,-0.11,0.05,-0.01
53,9.21,-1.4,4.51,-0.11,0.05,-0.01
54,9.21,-1.4,4.51,-0.11,0.05,-0.01
55,9.21,-1.4,4.51,-0.11,0.05,-0.01
56,9.21,-1.4,4.51,-0.11,0.05,-0.01
57,9.21,-1.4,4.51,-0.11,0.05,-0.01
58,9.21,-1.4,4.51,-0.11,0.05,-0.01
59,9.21,-1.4,4.51,-0.11,0.05,-0.01
60,9.21,-1.4,4.51,-0.11,0.05,-0.01
61,9.21,-1.4,4.51,-0.11,0.05,-0.01
62,9.21,-1.4,4.51,-0.11,0.05,-0.01
63,9.21,-1.4,4.51,-0.11,0.05,-0.01
64,9.21,-1.4,4.51,-0.11,0.05,-0.01
65,9.21,-1.4,4.51,-0.11,0.05,-0.01
66,9.22,-1.4,4.51,-0.11,0.05,-0.01
67,9.22,-1.4,4.51,-0.11,0.05,-0.01
68,9.22,-1.4,4.51,-0.11,0.05,-0.01
69,9.22,-1.4,4.51,-0.11,0.05,-0.01
70,9.22,-1.4,4.51,-0.11,0.05,-0.01
71,9.22,-1.4,4.51,-0.11,0.05,-0.01
72,9.22,-1.4,4.51,-0.11,0.05,-0.01
73,9.22,-1.4,4.51,-0.11,0.05,-0.01
74,9.22,-1.4,4.51,-0.11,0.05,-0.01
75,9.22,-1.4,4.51,-0.11,0.05,-0.01
76,9.22,-1.4,4.51,-0.11,0.05,-0.01
77,9.22,-1.39,4.51,-0.11,0.05,-0.01
