STT,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0,8.9,-1.15,5.19,-0.11,0.05,-0.01
1,8.9,-1.15,5.18,-0.11,0.05,-0.01
2,8.9,-1.14,5.18,-0.11,0.05,-0.01
3,8.91,-1.14,5.17,-0.11,0.05,-0.01
4,8.91,-1.14,5.17,-0.11,0.05,-0.01
5,8.91,-1.14,5.16,-0.11,0.05,-0.01
6,8.91,-1.13,5.16,-0.11,0.05,-0.01
7,8.92,-1.13,5.15,-0.11,0.05,-0.01
8,8.92,-1.13,5.15,-0.11,0.05,-0.01
9,8.92,-1.13,5.15,-0.11,0.05,-0.01
10,8.92,-1.12,5.14,-0.11,0.05,-0.01
11,8.92,-1.12,5.14,-0.11,0.05,-0.01
12,8.92,-1.12,5.14,-0.11,0.05,-0.01
13,8.93,-1.12,5.14,-0.11,0.05,-0.01
14,8.93,-1.12,5.14,-0.11,0.05,-0.01
15,8.93,-1.12,5.14,-0.11,0.06,-0.01
16,8.93,-1.12,5.14,-0.11,0.06,-0.01
17,8.92,-1.12,5.14,-0.11,0.06,-0.01
18,8.92,-1.12,5.14,-0.11,0.06,-0.01
19,8.92,-1.13,5.14,-0.11,0.06,-0.01
20,8.92,-1.13,5.14,-0.11,0.06,-0.01
21,8.92,-1.13,5.15,-0.11,0.06,-0.01
22,8.92,-1.13,5.15,-0.11,0.06,-0.01
23,8.92,-1.13,5.15,-0.11,0.06,-0.01
24,8.92,-1.13,5.16,-0.11,0.06,-0.01
25,8.91,-1.13,5.16,-0.11,0.06,-0.01
26,8.91,-1.13,5.16,-0.11,0.06,-0.01
27,8.91,-1.13,5.17,-0.11,0.06,-0.01
28,8.91,-1.13,5.17,-0.11,0.06,-0.01
29,8.91,-1.13,5.17,-0.11,0.06,-0.01
30,8.9,-1.13,5.18,-0.11,0.06,-0.01
31,8.9,-1.13,5.18,-0.11,0.06,-0.01
32,8.9,-1.13,5.18,-0.11,0.06,-0.01
33,8.9,-1.13,5.19,-0.11,0.06,-0.01
34,8.9,-1.13,5.19,-0.11,0.06,-0.01
35,8.9,-1.13,5.19,-0.11,0.06,-0.01
36,8.9,-1.13,5.19,-0.11,0.06,-0.01
37,8.9,-1.13,5.2,-0.11,0.06,-0.01
38,8.89,-1.13,5.2,-0.11,0.06,-0.01
39,8.89,-1.13,5.2,-0.11,0.06,-0.01
40,8.89,-1.13,5.2,-0.11,0.06,-0.01
41,8.89,-1.13,5.2,-0.11,0.06,-0.01
42,8.89,-1.13,5.2,-0.11,0.06,-0.01
43,8.89,-1.13,5.21,-0.11,0.06,-0.01
44,8.89,-1.13,5.21,-0.11,0.06,-0.01
45,8.89,-1.12,5.21,-0.11,0.06,-0.01
46,8.89,-1.12,5.21,-0.11,0.06,-0.01
47,8.89,-1.12,5.21,-0.11,0.06,-0.01
48,8.89,-1.12,5.21,-0.11,0.06,-0.01
49,8.89,-1.12,5.21,-0.11,0.06,-0.01
50,8.89,-1.12,5.21,-0.11,0.06,-0.01
51,8.89,-1.12,5.21,-0.11,0.06,-0.01
52,8.89,-1.12,5.22,-0.11,0.06,-0.01
53,8.88,-1.12,5.22,-0.11,0.06,-0.01
54,8.88,-1.12,5.22,-0.11,0.06,-0.01
55,8.88,-1.12,5.22,-0.11,0.05,-0.01
56,8.88,-1.12,5.22,-0.11,0.05,-0.01
57,8.88,-1.12,5.22,-0.11,0.05,-0.01
58,8.88,-1.12,5.22,-0.11,0.05,-0.01
59,8.88,-1.12,5.22,-0.11,0.05,-0.01
60,8.88,-1.12,5.22,-0.11,0.05,-0.01
61,8.88,-1.12,5.22,-0.11,0.05,-0.01
62,8.88,-1.12,5.22,-0.11,0.05,-0.01
63,8.88,-1.12,5.22,-0.11,0.05,-0.01
64,8.88,-1.12,5.22,-0.11,0.05,-0.01
65,8.88,-1.12,5.22,-0.11,0.05,-0.01
66,8.88,-1.12,5.22,-0.11,0.05,-0.01
67,8.88,-1.12,5.22,-0.11,0.05,-0.01
68,8.88,-1.12,5.22,-0.11,0.05,-0.01
69,8.88,-1.13,5.21,-0.11,0.05,-0.01
70,8.88,-1.13,5.21,-0.11,0.05,-0.01
71,8.88,-1.13,5.21,-0.11,0.05,-0.01
72,8.88,-1.13,5.21,-0.11,0.05,-0.01
73,8.88,-1.13,5.21,-0.11,0.05,-0.01
74,8.88,-1.13,5.21,-0.11,0.05,-0.01
75,8.88,-1.13,5.21,-0.11,0.05,-0.01
76,8.88,-1.13,5.21,-0.11,0.05,-0.01
77,8.88,-1.13,5.21,-0.11,0.05,-0.01
78,8.88,-1.13,5.21,-0.11,0.05,-0.01
79,8.88,-1.13,5.21,-0.11,0.05,-0.01
80,8.89,-1.13,5.21,-0.11,0.05,-0.01
81,8.89,-1.13,5.21,-0.11,0.05,-0.01
82,8.89,-1.13,5.21,-0.11,0.05,-0.01
83,8.89,-1.13,5.21,-0.11,0.05,-0.01
84,8.89,-1.13,5.21,-0.11,0.05,-0.01
85,8.89,-1.13,5.21,-0.11,0.05,-0.01
86,8.89,-1.13,5.21,-0.11,0.05,-0.01
87,8.89,-1.13,5.21,-0.11,0.05,-0.01
88,8.89,-1.13,5.21,-0.11,0.05,-0.01
89,8.89,-1.13,5.21,-0.11,0.05,-0.01
90,8.89,-1.13,5.2,-0.11,0.05,-0.01
91,8.9,-1.13,5.2,-0.11,0.05,-0.01
92,8.9,-1.13,5.2,-0.11,0.05,-0.01
93,8.9,-1.13,5.2,-0.11,0.05,-0.01
94,8.9,-1.14,5.19,-0.11,0.04,-0.01
95,8.9,-1.14,5.19,-0.11,0.04,-0.01
96,8.9,-1.14,5.18,-0.11,0.04,-0.01
97,8.91,-1.14,5.18,-0.11,0.04,-0.01
98,8.91,-1.14,5.18,-0.11,0.04,-0.01
99,8.91,-1.14,5.17,-0.11,0.04,-0.01
100,8.91,-1.14,5.17,-0.11,0.04,-0.01
101,8.91,-1.14,5.16,-0.11,0.04,-0.01
102,8.91,-1.14,5.16,-0.11,0.04,-0.01
103,8.92,-1.14,5.16,-0.11,0.04,-0.01
104,8.92,-1.14,5.15,-0.11,0.05,-0.01
105,8.92,-1.14,5.15,-0.11,0.05,-0.01
106,8.92,-1.14,5.15,-0.11,0.05,-0.01
107,8.92,-1.14,5.14,-0.11,0.05,-0.01
108,8.92,-1.14,5.14,-0.11,0.05,-0.01
109,8.92,-1.14,5.14,-0.11,0.05,-0.01
