,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
0,8.92,0.57,5.32,-0.11,0.06,-0.01
1,8.92,0.57,5.31,-0.11,0.06,-0.01
2,8.92,0.56,5.31,-0.11,0.07,-0.01
3,8.92,0.56,5.31,-0.11,0.07,-0.01
4,8.92,0.56,5.3,-0.11,0.07,-0.01
5,8.93,0.56,5.3,-0.11,0.07,-0.01
6,8.93,0.56,5.3,-0.11,0.07,-0.01
7,8.93,0.56,5.3,-0.11,0.07,-0.01
8,8.93,0.56,5.3,-0.11,0.07,-0.01
9,8.93,0.56,5.3,-0.11,0.07,-0.01
10,8.93,0.56,5.3,-0.11,0.08,-0.01
11,8.93,0.56,5.3,-0.11,0.08,-0.01
12,8.93,0.56,5.3,-0.11,0.08,-0.01
13,8.93,0.56,5.3,-0.11,0.08,-0.01
14,8.92,0.56,5.31,-0.11,0.08,-0.01
15,8.92,0.56,5.31,-0.11,0.08,-0.01
16,8.92,0.57,5.31,-0.11,0.08,-0.01
17,8.92,0.57,5.32,-0.11,0.08,-0.01
18,8.92,0.57,5.32,-0.11,0.08,-0.01
19,8.91,0.57,5.33,-0.11,0.08,-0.01
20,8.91,0.57,5.33,-0.11,0.08,-0.01
21,8.91,0.57,5.34,-0.11,0.08,-0.01
22,8.91,0.57,5.34,-0.11,0.08,-0.01
23,8.9,0.57,5.35,-0.11,0.08,-0.01
24,8.9,0.57,5.36,-0.11,0.08,-0.01
25,8.9,0.57,5.36,-0.11,0.08,-0.01
26,8.89,0.57,5.37,-0.11,0.08,-0.01
27,8.89,0.57,5.37,-0.11,0.08,-0.01
28,8.89,0.57,5.38,-0.11,0.07,-0.01
29,8.88,0.57,5.38,-0.11,0.07,-0.01
30,8.88,0.57,5.39,-0.11,0.07,-0.01
31,8.88,0.57,5.39,-0.11,0.07,-0.01
32,8.88,0.57,5.4,-0.11,0.07,-0.01
33,8.87,0.57,5.4,-0.11,0.07,-0.01
34,8.87,0.57,5.4,-0.11,0.07,-0.01
35,8.87,0.57,5.41,-0.11,0.06,-0.01
36,8.87,0.57,5.41,-0.11,0.06,-0.01
37,8.87,0.57,5.41,-0.11,0.06,-0.01
38,8.87,0.57,5.41,-0.11,0.06,-0.01
39,8.87,0.57,5.41,-0.11,0.06,-0.01
40,8.87,0.57,5.42,-0.11,0.06,-0.01
41,8.86,0.57,5.42,-0.11,0.06,-0.01
42,8.86,0.57,5.41,-0.11,0.06,-0.01
43,8.86,0.57,5.41,-0.11,0.05,-0.01
44,8.86,0.57,5.41,-0.11,0.05,-0.01
45,8.87,0.57,5.41,-0.11,0.05,-0.01
46,8.87,0.57,5.41,-0.11,0.05,-0.01
47,8.87,0.57,5.41,-0.11,0.05,-0.01
48,8.87,0.57,5.41,-0.11,0.05,-0.01
49,8.87,0.57,5.4,-0.11,0.05,-0.01
50,8.87,0.57,5.4,-0.11,0.05,-0.01
51,8.87,0.57,5.4,-0.11,0.05,-0.01
52,8.87,0.57,5.4,-0.11,0.05,-0.01
53,8.87,0.57,5.4,-0.11,0.05,-0.01
54,8.87,0.57,5.39,-0.11,0.05,-0.01
55,8.87,0.57,5.39,-0.11,0.05,-0.01
56,8.87,0.57,5.39,-0.11,0.05,-0.01
57,8.87,0.57,5.39,-0.11,0.06,-0.01
58,8.88,0.57,5.39,-0.11,0.06,-0.01
